YYYYMMDDHH,MSLP,VMAX,TY,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,MRD,GUSTS,EYE,STORMNAME
2012082418,929,125,TY,64,40,35,35,40,995,200,20,0,10,4
2012082500,929,125,TY,64,40,35,35,40,995,210,20,150,15,4
2012082118,967,75,TY,50,35,30,30,35,1005,200,20,0,0,4
2012082718,970,70,TY,64,35,35,35,35,1000,240,25,0,0,4
2012082112,974,65,TY,50,30,30,30,30,1005,170,25,0,0,4
2012082200,963,80,TY,64,30,30,30,30,1005,220,20,100,0,4
2012082306,948,100,TY,64,30,30,30,30,1000,220,15,0,0,4
2012082312,948,100,TY,64,30,30,30,30,1000,220,15,0,0,4
2012082118,967,75,TY,64,20,20,20,20,1005,200,20,0,0,4
2012082206,963,80,TY,64,20,20,20,20,1005,220,20,0,0,4
2012082212,956,90,TY,64,20,20,20,20,1005,220,20,0,0,4
2012082218,956,90,TY,64,20,20,20,20,1004,230,20,0,0,4
2012082300,952,95,TY,64,20,20,20,20,1000,200,15,0,15,4
2012082318,944,105,TY,64,20,20,20,20,1000,200,20,0,0,4
2012082400,944,105,TY,64,20,20,20,20,1000,190,20,0,0,4
2012082406,941,110,TY,64,20,20,20,20,995,190,20,0,20,4
2012082412,933,120,TY,64,20,20,20,20,995,190,20,0,20,4
2012120200,926,130,ST,34,115,100,110,135,1007,185,15,0,10,5
2012120206,922,135,ST,34,120,105,110,125,1008,180,15,0,10,5
2012120318,911,150,ST,34,120,110,90,120,1006,180,5,0,10,5
2012120212,922,135,ST,34,110,100,100,110,1007,180,10,0,5,5
2012120312,918,140,ST,34,115,105,100,110,1008,180,5,0,10,5
2012120312,918,140,ST,50,65,55,50,65,1008,180,5,0,10,5
2012120318,911,150,ST,50,65,55,50,65,1006,180,5,0,10,5
2012120200,926,130,ST,50,60,50,50,60,1007,185,15,0,10,5
2012120206,922,135,ST,50,55,50,50,55,1008,180,15,0,10,5
2012120212,922,135,ST,50,55,50,50,55,1007,180,10,0,5,5
2012120200,926,130,ST,64,30,30,35,35,1007,185,15,0,10,5
2012120312,918,140,ST,64,35,30,30,35,1008,180,5,0,10,5
2012120318,911,150,ST,64,35,30,30,35,1006,180,5,0,10,5
2012120206,922,135,ST,64,30,25,25,30,1008,180,15,0,10,5
2012120212,922,135,ST,64,30,25,25,30,1007,180,10,0,5,5
2012120900,1004,25,TD,0,0,0,0,0,1008,90,40,0,0,5
2012120818,985,50,TS,34,75,0,0,75,1007,90,25,0,0,5
2012120612,978,60,TS,34,75,60,60,75,1009,190,15,0,0,5
2012120618,978,60,TS,34,60,45,45,60,1009,185,15,0,0,5
2012112812,982,55,TS,34,55,50,50,55,1008,180,20,0,0,5
2012112800,985,50,TS,34,45,35,35,45,1006,200,30,0,0,5
2012112806,985,50,TS,34,45,35,35,45,1006,190,25,0,0,5
2012112712,989,45,TS,34,40,20,30,40,1008,170,30,0,0,5
2012112718,989,45,TS,34,40,20,30,40,1007,180,30,0,0,5
2012120612,978,60,TS,50,30,25,25,30,1009,190,15,0,0,5
2012112812,982,55,TS,50,25,25,25,25,1008,180,20,0,0,5
2012112700,996,35,TS,0,0,0,0,0,1006,180,45,0,0,5
2012112706,996,35,TS,0,0,0,0,0,1006,160,35,0,0,5
2012113000,982,55,TS,34,65,65,60,60,1005,190,25,0,0,5
2012112818,982,55,TS,34,55,50,50,55,1008,180,20,0,0,5
2012112900,982,55,TS,34,55,50,50,55,1008,180,20,0,0,5
2012112906,982,55,TS,34,55,50,50,55,1005,170,25,0,0,5
2012112912,985,50,TS,34,50,50,50,50,1007,175,20,0,0,5
2012112918,985,50,TS,34,55,55,50,50,1007,175,25,0,0,5
2012113000,982,55,TS,50,35,35,30,30,1005,190,25,0,0,5
2012112818,982,55,TS,50,25,25,25,25,1008,180,20,0,0,5
2012112900,982,55,TS,50,25,25,25,25,1008,180,20,0,0,5
2012120700,974,65,TY,34,60,45,45,60,1009,185,15,0,0,5
2012120118,929,125,TY,34,115,100,110,135,1007,185,15,0,10,5
2012120400,937,115,TY,34,120,110,90,120,1006,160,10,0,0,5
2012120406,948,100,TY,34,120,110,90,115,1006,160,15,0,0,5
2012120412,959,85,TY,34,120,110,90,115,1008,180,20,0,0,5
2012120418,963,80,TY,34,120,110,90,115,1008,180,20,0,0,5
2012120106,937,115,TY,34,105,100,100,105,1006,180,15,0,15,5
2012120112,933,120,TY,34,105,100,100,105,1007,180,10,0,10,5
2012120718,937,115,TY,34,115,110,95,105,1009,180,15,0,0,5
2012120800,941,110,TY,34,125,125,110,105,1009,200,20,0,0,5
2012120306,929,125,TY,34,105,95,95,100,1007,180,10,0,10,5
2012120500,963,80,TY,34,110,80,80,100,1008,180,20,0,0,5
2012120712,937,115,TY,34,100,85,85,100,1009,160,10,0,10,5
2012120806,948,100,TY,34,100,105,105,100,1009,180,20,0,0,5
2012120100,937,115,TY,34,95,80,80,95,1004,140,25,0,15,5
2012120218,929,125,TY,34,90,75,70,90,1007,180,15,0,0,5
2012120300,937,115,TY,34,90,75,70,90,1007,180,15,0,0,5
2012120606,974,65,TY,34,85,65,60,85,1008,180,15,0,0,5
2012113018,956,90,TY,34,80,75,75,80,1003,165,20,0,10,5
2012120506,967,75,TY,34,95,70,60,80,1008,180,20,0,0,5
2012120512,970,70,TY,34,95,70,60,80,1009,190,20,0,0,5
2012120518,974,65,TY,34,95,70,60,80,1009,190,20,0,0,5
2012120600,974,65,TY,34,95,70,60,80,1007,190,10,0,0,5
2012120706,963,80,TY,34,75,60,60,75,1009,175,10,0,10,5
2012113006,974,65,TY,34,70,70,70,70,1004,170,20,0,0,5
2012113012,967,75,TY,34,75,75,70,70,1006,165,20,0,0,5
2012120100,937,115,TY,50,70,60,60,70,1004,140,25,0,15,5
2012120106,937,115,TY,50,70,60,60,70,1006,180,15,0,15,5
2012120400,937,115,TY,50,65,55,50,65,1006,160,10,0,0,5
2012120406,948,100,TY,50,65,55,50,65,1006,160,15,0,0,5
2012120412,959,85,TY,50,65,55,50,65,1008,180,20,0,0,5
2012120418,963,80,TY,50,65,55,50,65,1008,180,20,0,0,5
2012120112,933,120,TY,50,60,50,50,60,1007,180,10,0,10,5
2012120118,929,125,TY,50,60,50,50,60,1007,185,15,0,10,5
2012120806,948,100,TY,50,60,65,65,60,1009,180,20,0,0,5
2012120800,941,110,TY,50,60,60,55,55,1009,200,20,0,0,5
2012113018,956,90,TY,50,50,45,45,50,1003,165,20,0,10,5
